,index,Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,player_id
115,839,839,Ed Stokes,TOR,26.0,213.36,119.748288,Arizona,USA,1993,2,35,4,0.8,1.0,0.3,-47.4,0.059,0.214,0.134,0.387,0.125,1997-98,116
116,8209,8209,Alexey Shved,NYK,26.0,198.12,84.821704,None,Russia,Undrafted,Undrafted,Undrafted,42,10.3,2.4,2.5,-8.5,0.031,0.111,0.258,0.541,0.26,2014-15,117
117,10072,10072,Julyan Stone,CHA,29.0,198.12,90.7184,Texas-El Paso,USA,Undrafted,Undrafted,Undrafted,23,0.8,1.3,1.1,9.3,0.005,0.153,0.051,0.684,0.187,2017-18,118
118,5328,5328,Roger Mason Jr.,WAS,27.0,195.58,96.161504,Virginia,USA,2002,2,30,80,9.1,1.6,1.7,-1.7,0.012,0.081,0.19,0.573,0.133,2007-08,119
119,967,967,Charles Shackleford,CHH,33.0,210.82,111.13004,North Carolina State,USA,1988,2,32,32,3.3,4.0,0.4,-5.4,0.142,0.264,0.16899999999999998,0.521,0.07,1998-99,120
120,8726,8726,Jarell Martin,MEM,22.0,208.28,108.408488,Louisiana State,USA,2015,1,25,27,5.7,3.2,0.6,-5.8,0.1,0.15,0.182,0.534,0.065,2015-16,121
121,5740,5740,Steve Nash,PHX,35.0,190.5,80.73937600000002,Santa Clara,Canada,1996,1,15,74,15.7,3.0,9.7,5.2,0.01,0.08900000000000001,0.211,0.615,0.403,2008-09,122
122,427,427,Mark Bryant,PHX,32.0,205.74,111.13004,Seton Hall,USA,1988,1,21,41,9.3,5.2,1.1,3.3,0.084,0.18600000000000005,0.16699999999999998,0.589,0.07200000000000001,1996-97,123
123,3933,3933,Dikembe Mutombo,HOU,39.0,218.44,120.20188,Georgetown,Congo,1991,1,4,80,4.0,5.3,0.1,10.0,0.147,0.251,0.13,0.575,0.014,2004-05,124
124,2252,2252,Mark Jackson,NYK,37.0,190.5,88.45044,St. John's (NY),USA,1987,1,18,82,8.4,3.8,7.4,-6.7,0.027000000000000003,0.126,0.154,0.536,0.405,2001-02,125
125,5504,5504,Aaron Brooks,HOU,24.0,182.88,73.028312,Oregon,USA,2007,1,26,80,11.2,2.0,3.0,4.2,0.021,0.071,0.231,0.521,0.201,2008-09,126
126,4766,4766,Tayshaun Prince,DET,27.0,205.74,97.52228,Kentucky,USA,2002,1,23,82,14.3,5.2,2.8,6.1,0.057,0.114,0.19,0.534,0.127,2006-07,127
127,1479,1479,Anthony Parker,ORL,25.0,198.12,97.52228,Bradley,USA,1997,1,21,16,3.6,1.7,0.6,-7.3,0.03,0.119,0.162,0.461,0.083,1999-00,128
128,10890,10890,Rudy Gay,SAS,33.0,203.2,113.398,Connecticut,USA,2006,1,8,58,9.7,5.3,1.7,-1.2,0.043,0.194,0.203,0.544,0.121,2019-20,129
129,3404,3404,Jason Collier,ATL,26.0,213.36,117.93392,Georgia Tech,USA,2000,1,15,20,11.3,5.6,0.9,2.2,0.077,0.156,0.192,0.5579999999999999,0.051,2003-04,130
130,1718,1718,Peja Stojakovic,SAC,23.0,205.74,103.872568,None,Serbia and Montenegro,1996,1,14,74,11.9,3.7,1.4,3.3,0.046,0.124,0.213,0.56,0.099,1999-00,131
131,5424,5424,Kyle Lowry,HOU,23.0,182.88,92.98636,Villanova,USA,2006,1,24,77,7.6,2.5,3.6,-4.5,0.018000000000000002,0.12,0.18,0.547,0.268,2008-09,132
132,9596,9596,Gerald Green,HOU,32.0,200.66,92.98636,None,USA,2005,1,18,41,12.1,3.2,0.6,4.6,0.016,0.124,0.219,0.5660000000000001,0.045,2017-18,133
